Görüş,Durum
fiyat performans olarak oldukça kullanışlı bir ürün tavsiye ederim,Olumlu
kaliteli bir ürün sert meyve sebzeleri bile 2 3 dakikada ufacık yapıyor sadece kablosu biraz ince geldi bana teşekkürler,Olumlu
avantajlar taksit br dezavantajlar fiyat br harika bir ürün,Olumlu
arızalı çıktı ürün maalesef,Olumsuz
fiyattaki bir ürüne 2 db anten takmışlar diğer arkadaşın yorumunda dediği sadece süs amaçkı kablosuz performansı kötü nedenini bilmiyorum yarım metre mesafede bile fazla 5ghz 866mbps bağlantı sunuyor haberiniz olsun son karar uzak durun paranıza yazık bunun alt modelini alın bundan performanslı iyi bir ürün çıkar ben aldığıma pişmanım not ürün hepsiburada com satıcıdan aldım bana gönderilen görseldekinin aynısıydı v3 modeli,Olumsuz
ürünün tutuşu iyi günü kurtarırsınız fakat saçta kalıntı bırakıyor uzun vadede saça zarar vereceğini düşünüyorum kalıntı bırakan krem şeklinde olanları öneririm,Olumsuz
fırının boyutu gayet güzel büyük bile bilirim pişirmesi güzel kesinlikle tavsiye ediyorum,Olumlu
ürün basit düğmesine iyi basmak gerekiyor dün geldi çabuk bozulacağa benziyor,Olumsuz
toz torbasız tercih ederken emiş gücünden tedirgin olmuştum ancak boşunaymış halı diplerine girmiş zorlu kirleri bile derinden temizleyerek hijyen sağladım aynı zamanda toz torbasız özelliği sayesinde uzun süreli kullanım temizleme kolaylığı sağlıyor sürekli toz torbası alma zahmetinde kurtarıyor 79db ses yüksekliği neredeyse buzdolabı kadar istediğim saatte süpürme avantajı sağlıyor,Olumlu
olumlu yönleri harika bir dik süpürge ben sevdim evin kirlenmdiği zamanda çalıştıroyrum eğilmeden harika süpürüyorum deposuda geniş sorunsuzuygun fiyatlıda al kullan koy 2 günde elime ulaştı hızlı güvenilir adres güvenilir alışveriş hızlı güven veren kargo sayesinde mutlu yüzler,Olumlu
ürünü beğenmiyorum mağazadan teslim var sadece satın alamıyorum istiyorum ben bunu,Olumlu
üç adet almıştım kendime kayınvalidem anneme doğru düzgün kullanmadan dişlisi kırılmis garanti kapsamına girmiyormus üçünde aynı sorun çıkıyorsa üründe sorun var demektir iki haftada üç ürün bozuldu küçücük plastik disliye otuz lira istiyorlar utanmadan arzum bana uzak olsun artık,Olumsuz
kötü hiçbir işe yaramıyor duman kötü koku çıkıyor doğramıyor bütün bırakıyor almayin,Olumsuz
olumsuz yönleri böyle bir ürün verdiğimiz paraya yazık memnun kalmadım,Olumsuz
ürüne yorum yapamıyorum montaj hizmeti sıfır ürünü ortada yarım yamalak monte edip bıraktılar ürünü şuan kullanamıyorum kumtelde bir çözüm bulmadı,Olumsuz
kullanimi cok kolay internette dolasim cok hizli oldukca detayli olarak ihtiyaclarinizi dusunmusler ver istediklerinizi secebiliyorsunuz gorunumude cok guzel zarif,Olumlu
ürünü çarşamba öğlen sipariş verdim kargoyu ekpress seçmedim sipariş ertesi gün elime geçti paketleme güzeldi sorunsuz teslim aldım telefona diyecek yok sesi fotoğraf çekimi güzel faturayı siteden indirdim teşekkürler amazzon,Olumlu
malzeme kalitesi yetersiz çeşme kısmını tutan parçalar güçsüz ilk aşağı yukarıda ufak bir güçte kırıldı kırılmasa dahi kapat aç kısmı kötü tam tutmuyor fiyatından dolayı iade yapmayacağım paraya bile değecek bir ürün değil,Olumsuz
henüz denemedik eksiksiz garanti belgesi ulaştı tesekkur ederim,Olumlu
olumlu yönleri oldukça iyi pratik,Olumlu
27 ağustosta aldım sağ kulaklığı çalışmıyor mikrofon çalışıyor gerçekten kadar para verdiğime pişmanım,Olumsuz
olumlu yönleri şahide 4 çekiyor,Olumlu
arcelikten iyi,Olumlu
boyutu iyi mutfakta yer kaplamıyorher türlü içeceği keyifle yapabilirsinizayrıca mağazaya teşekkürler hızlı bir şekilde kargoladılar,Olumlu
malesef ürün dayanıksız su kıvamı tavsiye etmiyorum ürünün yapısı böyle satıcı kargomu hızlı bir şekilde gönderdi onda sorun yok,Olumsuz
yorumlara bakarak tereddüt etmeden aldım benim hayal kırıklığı oldu beklentilerinin altında bir kulaklık ses hışırtılı 10 liralık bi kulaklıktan bi farkı yok tiz bass dengesiz tekrardan hoparlörü patlamış kulaklığımla müzikleri dinliyorum verdiğimiz para çöp oldu,Olumsuz
urun bugun sabah geldi kullanim talimatinda yazdigi firini bos bir sekilde sadece 150 derecede calistirdim yarim saat sonra kapattim kapaklari acamadim yapismislar bicakla ancak acabildim boyasi cok olsa erimisti yuksek sicaklikta olacagi tam bir muamma umarim sadece ilk sefere mahsustur suan hizli teslimat urun gorunumu bekledigim eksiksiz geldigi icin 2 yildiz pisirmek icin kullandigimda yorumu guncelleyecegim lutfen yorum yazmaya özen gosterin cok yardimci oluyor,Olumsuz
ısınmıyor doğru düzgün bile yüksek derece açtığım halde kendi kendine sönüyor saniyesinde bir tost bile yapılamıyor,Olumsuz
sakız kıvamında tutuş 0 kesinlikle paranızı çöpe atmayın,Olumsuz
radyo aldım doğru dürüst çekmiyor mp3 ses fena sayılmaz fiyata göre normal bir ürün,Olumsuz
yazan model 2 kademeli ancak bana gönderilen makina tek kademeli yanlış ürün geldi,Olumsuz
ürün görselde kaliteli duruyor,Olumsuz
apple kaliteyi hissettiriyor başarılı güvenli alışveriş,Olumlu
kullanışlı iyi aldım dediğim bir ürün,Olumlu
ürün gayet güzel beyendim teşekürederim herkese tafsiye ederim,Olumlu
ürün elime ulaşmadı,Olumsuz
cekisi gucu cok kotu taksiti bitmedi mecburen kullaniyorum,Olumsuz
beğendik gücü iyi,Olumlu
güzel halı iyi çekiyor süper olmuş gücü teknoloji,Olumlu
ucuz bir aspiratör alayım dedim 4 yıl garanti veriyor king 4910 senso ürününü tercih ettim yalnız mal kalitesiz 90tl vermeye değmezmiş marka gözetmeyin ucuzu hangisiyse onu alın derim üzerine bir 25tl montaj ödedim satıcı bunu belirtmemişti fiyat oldu 115tl olsa hangi ucuz mal olursa olsun vasat azından cebinizden çıkar,Olumsuz
yorumlarda soylendigi hemen ısınmadı ısındıktan guzel bir ürün hemen soğumuyor çıkarılıp yikanabilen plakalar cok iyi,Olumlu
zamanında 299 almıştım kem mel böyle plastik duruyor fiyata lakin taş ağır tefal kalitesi verilen para helal,Olumlu
kutu içeriğinde yıkama aparatı olmaması kötü ekstra para satılması saçma tıpa olmadan yıkadıktan sonra dalgınlıkla ıslak kullanarak can güvenliğini tehlikeye atabilirsiniz,Olumsuz
ürün oldukça sessiz emiş gücüde gayet iyi yeni ilerleyen zamanda sağlamlık kalitesi kendini gösterir,Olumlu
fiyatına göre güzel bir cihaz tavsiye ederim,Olumlu
1 yıldır kullanıyorum bir problem yaşamadım,Olumlu
arkadaşımda kullanmıştım memnun kaldım bende sipariş veriyorum,Olumlu
altus al 434 bulaşık mal inadını 4 yıl önce aldım garantisi bitti bir hafta sonra ana kartı yanmış dediler 250 tl para verdim 4 yılda 3 kartı bozuldu bir altus tövbe,Olumsuz
ürün erken ulaştı mercekleri iyi telefon tutacağı sert orantısız telefonu önce kapatıyor sonra fırlatıyor,Olumsuz
insan içine 1 tane film koyar denesinler sırf ucuz göstermek adına ürünü içinden filmleri almanız hoş değil tavsiye etmiyorum mağazayı yeni bir ürün alınca insanlar deneyip görmek ister mağaza bi güzellik yaparsa bende yoruma katarım,Olumsuz
ürünü 2 yıldır kullanıyorum çekişi vs gayet güzel güçten düşme olmadı,Olumlu
arkadaşlar yorumlara bakarak aldım yazikki modem tam bir rezalet aynı odanın içinde bile sürekli kopmalar mevcut türlü ayar yapmaya çalışsam sonuç değişmedi önceden huawei modemim vardı bile bundan kat kat iyiydi paramla rezil oluyorum harika,Olumsuz
fiyata göre iyi bir ürün,Olumlu
burada satıcısından bakır rengini aldım hepsiexpressle 1 gün sonra kısa bir süre içerisinde elime ulaştı sorunsuz çalıştı kullanımı kolay kahveyi dakikalar içerisinde kısa bir sürede köpüklü yapıyor ben beğendim kampanya içerisinde aldım alacaklara tavsiye ederim,Olumlu
yorumlara bakıp aldım iyi gerçekten tavsiye ederim,Olumlu
urun cok sessiz muadillerine gore cok hizli kaynatiyor fiyata piyasadaki sacma markali urunler yerine vestel markasini tercih etmek mantikli,Olumlu
ayak kısmı bildiğin çöp atıklarından üretilmiş teslim edildiği gün ayağı kırıldı karton ayakdaki plastikden kalın,Olumsuz
kireç toplama özelliği gayet iyi,Olumlu
kullanışlı bir ürün kendi küçük işlevi büyük,Olumlu
gayet başarılı güzel bir ürün bundan önceki makineye göre iyi,Olumlu
üründen plastik kokusu geliyor,Olumsuz
telefon genel olarak güzel eşim aldım kamera çekimi parlak doğal bir görüntü vermiyor iphone dan sonra kullananlar büyük sıkıntı,Olumlu
cok kullanisli cok tatli yorumlarda bahsedilenin aksine hic damlatma problemi yasamadim fiyata hic dusunmeden alinabilir,Olumlu
2 haftadır kullanıyorum bir sıkıntı görmedim satıcıya teşekkürler,Olumlu
yaklaşık 2 saatte kek pişiren fırından beklersiniz güneşin altında pişer fırında pişmez tavsiye etmiyorum,Olumsuz
ürünümü teslim çizik geldi iade edicem umarım düzgün bi şekilde geri yollarlar onun dışında geri içinin genişliği şekli muhteşem,Olumsuz
fiyatına göre başarılı bir urun cabuk ısınıp hızlı iş görüyor,Olumlu
oğlum oyun oynamayı seviyor telefonla ders videolarını rahat izliyor büyük ekranı sayesinde oyunlarını keyifli oynuyor hızlı olduğunu sayede rahat oynadığını söylüyor çektiği fotoğraflar canlı parlak depolama alanı geniş olduğundan kaydettiği ders videolarını internetsiz ortamlarda izleyebiliyor,Olumlu
boyutu beklediğimden küçük yeterli rengine bayıldım,Olumlu
siparişi vereli 5 gün oldu hala hazırlanıyor yazıyor müşteri hizmetelrini arıyorum bir bilgi yok sizi arıyalım diyorlar arayan yok kurumsal firma aldık alakası yok pişmanım,Olumsuz
harika bir ürün ben beğendim yalnız ızgaraların küçük tam oturmuyor boşluk kalıyor,Olumlu
ürün güzel memnun kaldık tafsiye ederim,Olumlu
10400mah aldığım cihaz uç şarj eder aldım 50 şarj ediyor anlatıldığı değil,Olumsuz
alalı bir ay olmama rağmen dolap bozuldu değiştireceğiz dediler halen gelmedi tam oniki gün oldu arıyorum gelecek deyip duruyorlar,Olumsuz
para vermeye gerek yok harika bir ütü tavsiye ederim,Olumlu
bence görüntüsü suyu ısıtma süresi başarılı fiyat çin pekte iyi bir ürün beklemiyordum şaşırdım cidden teşekkürler,Olumsuz
blutetoth 2 metreden cekmıyor sureklı bız cızrtı var servıse godenrdık yenı urun verdıler onda aynı parasını haketmıyor,Olumsuz
anneme aldım güzel paketlenmiş olarak geldi şimizi fazlasıyla görüyor,Olumlu
beğenmedim ilk gömlek hamlesinde yapıştı anlıyacağınız gömlek yandı bazilariniz derki ayarını yapamamış sındır ilk ütü yapmıyorum,Olumsuz
mavi sipariş ettim kırmızı geldi makina bozuk kabloyu içine çekmiyor dürüst bir firma değil sıkınıtı olduğunda ilgilenmiyorlar kaymakamlıkta tüektici haklarına başvurdum,Olumsuz
i ade ettim beş para etmez boşuboşuna almayın yazık paraya,Olumsuz
kargo sorunu kargonun girtmediği yereadres girince uyarılması lazımm,Olumsuz
telefon elime sorunsuz ulaştı beklediğim gibiydi zaten takip ettiğim bi telefondu zamanında güzel teslimat teşekkürler,Olumlu
arkadaşıma hediye aldım memnunum ürünlerinden,Olumlu
tavsiye etmiyorum beğenmedim iade ettim,Olumsuz
performans açısından iyi sadece bazen su akıtıyor su haznesi küçük olduğu bir gömleğin ütüsüne anca yetiyor,Olumlu
ürün muhteşem üstelik sağlam paketleme teşekkürler trendyol,Olumlu
klavyeyi tavsiye etmem ben ürünü aldım 1 2 ay sonra tab capslock benzeri tuslara basılı tutamiyordum,Olumsuz
kalite 0,Olumsuz
fiyata ürün iyi tavsiye ederim,Olumlu
ürün iyi fakat fişe taktığımda elektirik kaçırıyordu elektirikçiye götürdüm topraklama kablosu takılmamış yüzdenmiş üretim eksikliği dikkate alınması gerekiyor,Olumsuz
hızlı gönderi üründe sıkıntı yok teşekkürler,Olumlu
15 gün önce satın aldım traktör çalışıyor kadar sesli 10 yıl önce aldığım arçelik marka sandık tipi dondurucu bile bundan sessiz çalışıyor siemens markasına güvendim aldım verdiğim parayı helal etmiyorum bir şekil aldıysanız 14 gün içinde iade edin uğraşmayın,Olumsuz
dandik plastik şişelir ağzı kapanmıyor sıcak suda yıkayınca eriyor makine hemen ısınıyor duruyor soğumasını bekliyorsun çalısması acayip gürültülü azar azar meyve koyarsan parçalıyor sadece kesinlikle kötü biraz para koyup iyisini alın bence,Olumsuz
kullanışlı hemen ısınıyor ısınması gereksiz vakit harcamıyor insan temizlenmesi bir kadar kolay tavsiye ederim,Olumlu
ürün pişirme açısından hızlı pratik yalnız bir kusuru ayrıca kullanım açısından bir handikapı var kusuru termostatlı elektrik kablosu sürekli arıza yaratıyor 2 kablo değiştirdim yine bozuldu nereden destek alabileceğimizi bilemiyoruz handikapı ürün biraz fazla büyük temizlik ürünün tamamını tek seferde bulaşık makinasına sığdıramıyoruz,Olumsuz
çük küçük içi darbeli geldi kazanındaki boyalar dökülüyor,Olumsuz
keşke azından poşete koysaydınız,Olumsuz
redline uydu alıcısı eminim bundan iyidir destek olarakta,Olumsuz
ben memnun değilim bir lekeyi çıkarmıyor yumuşatıcı kokusunu bile vermiyor camasira,Olumsuz
ürün fiyatina gore bir efsane tereddüt etmeden alabirsiniz,Olumlu
mutlaka almalısınız,Olumlu
ürün kaliteli kullanışlı bir ürün kargo hızlı sağlam teslimat sağladı,Olumlu
plastik yapısı kalitesizlik hissi veriyor,Olumsuz
ürünü kesinlikle tavsiye etmiyorum öğrenci evine almıştık 2 çevirmeye kalmadan içindeki plastik parça eridi bıçağı döndüremez hale geldi kessinlikle tavsiye etmiyorum,Olumsuz
bildirimlerdeki türkçe karakterleri desteklemiyor kronometre kullanımı işlevsel değil nabız ölçer düzgün çalışmıyor görüntü kalitesi oldukça düşük tek olumlu özelliği şarjının uzun süre gidiyor olması telefonuma bildirim geldiğinde saatim titresin arayan olduğunda saatimden ismini göreyim derseniz alın bunları yapan uygun fiyatlı seçenekler var,Olumsuz
arkadaşlar bulaşmayın valla vodafone un verdiği modemle aynı çekiyor başka bir ürün alın bence paraya sürekli internet gidip duruyor,Olumsuz
i stediğiniz şeyi yapabiliyor ister çırpın ister doğrayın sesi rahatsız edecek kadar değil diğer blendırlara göre pratik kullanışlı olmasını seviyorum keklerim sayesinde fazla kabarmaya başladı,Olumlu
ürün güzel paketleme güzel fakat mağazadan uzak durun kesinlikle,Olumsuz
hayırr para etmez,Olumsuz
ütü su akıtıyor servis ağı kötü satış sonrası asla kaliteli hızmet beklemeyin alıpta pişman olmayın,Olumsuz
süper makine iyi,Olumlu
ürün renk olarak güzel fakat kalıcı değil hemde dağılıyor hemde öyle böyle değil uygun fiyata kaliteli rujlarım olmuştu tavsiye etmiyorum,Olumsuz
kötü bir ürün hele beraberinde gelen kulaklık kalitesiz kablosu kısacık takıp kullanmak imkansız sakın almayın,Olumsuz
farklı renkte ürün gönderilmiş,Olumsuz
1haftadir kullanıyoruz pek sıkıntı olmadı fakat kuru çıkarmıyor,Olumlu
ürünü aldım 2 günde elime ulaştı malatya bi türlü kurulum yapamıyoruz tek yapılması gereken kurulum servis kaydı oluşturmak hepsiburada satıcılı aldım onlar klimsa servis kaydı açacak diyor onları arıyorum yetkili servis kayıt açacak diyor servisi arıyorum abi aldığın firma kayıt açacak diyor tekrar hepsiburada yı arıyorum döngü 50 kere gerçekleşti yaklaşık bir haftadır böyle 2 gün bekleyecem yoksa iade böyle saçma bir satış şekli ilk görüyorum almadan önce araştırın ona göre kafanız ağrımasın klima bir haftaya yakın evin içinde kutuda boş boş duruyor servis kaydı açılacak açılacağını sanmıyorum 2 gün bakalım güya dönüş yapılacak tövbeler tövbesi kimse dönüş yapmadı,Olumsuz
kargo şirketinizi acilen degistirmelisiniz 1 haftadır kargoyu bekliyorum zor zahmet telefonla ulaştığında 1 haftaya elinize ulaşır diyorlar bin pişman oldum,Olumsuz
tablet 10 inç yazılı resimde 7 inç olarak gösteriliyor bizleri aydınlatırmısınız,Olumsuz
hızlı teslimat seçeneği gün içinde teslim aldım öncelikle fareyi eli kürek olan kişiler almasın fare biraz küçük ellere hitap ediyor sırf mausepad alınabilir,Olumsuz
ürün marka değerini taşıyor sessiz gayet basarılı calışıyor hızlı gonderi özelikle yeni nesil fırçası cok iyi calışıyor bende 2000 var aynı urunun ondan aşagıya kalır yanı yok tavsi ye ederi tşklr,Olumlu
gayet güzel bir ürün fiyat fazla iyi hatta,Olumlu
urun kalite kelimesiyle yanyana bile değil,Olumsuz
kutuya koyup gonderilmisti faturasi mevcuttu tesekkurler,Olumlu
avantajlar kaliteli br kullanan yakınlarım memnun,Olumlu
gerçekten muadillerine göre kullanışlı kolay,Olumlu
beğenmedim memnun kalmadım bozuldu bile,Olumsuz
granit olması sebebiyle temizlemesi kolay kademeli ısı ayarı sayesinde kısa sürede pişiriyor gayet kullanışlı bir ürün,Olumlu
kaliteli kullanışlı,Olumlu
ürün bozuk kutu acik bir sekilde geldi içinde saç teli vardı aynı zamanda resimdeki ürünle gönderilen ürün aynı değil,Olumsuz
ürünü beğendim,Olumlu
fiyatı uygun kullanışlı bir ürün kargo elime sorunsuz bir şekilde ulaştı yorumlarda sesinden rahatsız olduklarını okumuştum bana öyle gürültülü gelmedi,Olumlu
defolu bir urun resim ekleyemedim saskinim,Olumsuz
mükemmel gözüküyor,Olumlu
gayet güzel bir ürün ayrıca gayette hesaplı bir ürün tavsiye ederim,Olumlu
olumlu yönleri harika keskin bıçağı atarsan at harika kesiyor mutfakta olmazsa olmaz bir alet beğendim 2 günde kapıma kadar geldi uygun fiyatlı harika bir mutfark robotu hızlı güvenilir adres güvenilir alışveriş hızlı güven veren kargo sayesinde mutlu yüzler,Olumlu
süpürgeyi alalı 1 5 yıl oldu başlarda gayet iyiydi fakat son 1 2 ayda çekiş gücü azaldı iyi çeksin küçük üçgen başlığını kullanıyorum,Olumsuz
uygun fiyatlı kullanışlı memnun kaldım tavsiye ederim önemlisi kadar elime geçeceğini ummuyordum satıcı şirketi tebrik ederim,Olumlu
telefona takılan yeri kısa olduğu müziği değistiriyor durduruyor google sesli arama geçiyor sinir ediyor keşke almadan önce baksaydım giriş yerine telefonda kullanacak olanlar almasın,Olumsuz
kardeşime çeyiz hediyesi olarak aldım beğenildi,Olumlu
beğendim iyi almışım,Olumlu
geçen yıl ekimde aldım evet bıos update gerekti zaten yeni update çıkmıştı update yaptım canavar gidiyor ek 8 gb ram ilave ed ip 16 gb yükselltim oynayamadığım oyun yok herkese tavsiye ederim işlemcim ryzen 2600,Olumsuz
aklınıza gelebilecek karışımı kolaylıkla yapabiliyor,Olumlu
parçası eksik geldi ızgara telini köşelerde tutan delikli plastik parçadan 4 tane olması gerekirken 3 tane çıktı haliyle küçücük parçadan dolayı kullanamıyorum anda,Olumsuz
depoda yıllarca kalmış duruyor,Olumsuz
ürün kargo hız teknik ekip hersey harikaydı tşkler,Olumlu
surekli fisi cikar tak yapiyoruz cok yavas ayrica fisi takinca 5dk beklemek lazim kendine gelmesi icin hic memnun kalmadim alali 3 ay oldu ayrica url filtreleme yapmiyor nasil is anlamadim,Olumsuz
anneme aldik ailece begendik,Olumlu
teşekkürler,Olumlu
ürün iyi servisi kendileri hallediyor gelip kuruyorlar tek kelimeyle harika bir ürün 3 aydır kullanıyoruz yorumu yeni yazıyorum ana kadar bir problem çıkmadı,Olumlu
tam anlamıyla berbatt kesinlikle tavsiye etmiyorum,Olumsuz
makina sıkıntı li geldi başlık lar birbirine uyuşmuyor yüzden beğen medim,Olumsuz
önce açılmış kullanilmis bir ürün gönderildi yanlış renk gönderildi pembemsi bir renk geldi ürün içindeki plastik huni kenarlardan akıtabiliyor zaten alcak olduğu alta koyabildiginiz ufak bardağın yanlarina damlayabiliyor ev kullanimi tavsiye etmem nar sıkabilmek pek alternatif yok tekrar alacak olsam markayi almaz digerlerini denerim,Olumsuz
uzunca bir süre araştırdım 2 li arçelik lerden alacaktım fakat pahalı geldi kahve içmek bana göre gerçekten fazla arzum okka yı aldım harika bir cihaz taşma emniyeti var tek eksisi 3 fincan lık çıkıyor bilginiz olsun,Olumlu
önceki kullandığım ütüyse süper kahraman filan olmalı iyi ütülüyor çabuk ısınıyor su akıtma problemi yaşamadım p olarak mükemmel,Olumlu
fiyata üstüne katarak iyi bir pc alabilirsiniz ilk nesil islemciler kullaniliyor islemcileri gucsuz,Olumsuz
kaplan avm den aldığım elektrikli süpürge özensiz paketlenmişti zira açarken bile paket hasar gördü ürün arızalı çıktı ade sürecini başlattım sağlam başka bir kutuda ürünü kargoladım sonrasında avm tarafından arandım orijinal kutusu yollanmadığı iade alamayacaklarını net olarak belirttiler halbuki cihazın selameti orijinal kutusu geri yollama ihtimalim yoktu iademi reddederek arızalı ürünü bana geri göndermişler üstelik iade almama sebebi olarak ürün arızalı belirtmişler ürün bana geldiğinde arızalıydı muhtemelen özensiz peketlemeleri sebebiyle hale gelmişti anlamda kaplan avm tarafından madur edildik,Olumsuz
fiyatına göre güzel bir ürün,Olumlu
hediye çekim vardı uyguna geldi kaliteli fonksiyonlu sessiz çalışıyor yi paketlenmişti sorunsuz bir alışveriş oldu,Olumlu
üründe aşırı şıklık beklemeyin montaj yaparken parçalarda bir iki eksik çıktı bir ayağında delikler açılmadığı demirci deldirmek zorunda kaldım vidalama yerleri sıkıntılı demir çapakları var bir alırmısın sorsalar almam derim gerisi sizde,Olumsuz
urun iyi magazanin esnaflikla alakasi yok,Olumsuz
güzel çay demleniliyor sevdik sadece içinde süzgeçi yok,Olumlu
ürün çekişi iyi parkeleri sökmez umarım,Olumlu
fiyatı uygun gelebilir evet lakin malzeme plastik kalitesi berbat ötesi çay plastik tadı alıyorsun bir kere demledim akrabama hediye ettim kesinlikle almayın fazla verin başka marka tercih edin,Olumsuz
ürün iyi paketlenmiş bi şekilde elime ulaştı,Olumlu
cok dandik sakin almayin esimin cokihtiyaci oldugj icin iade edemedim zaten 1aydir bekliyorduk,Olumsuz
araştırdım iyisi hesaplısı gayet kaliteli şık,Olumlu
fiyatına göre güzel uzun yıllar kullanın kadar paralar dökmenize gerek kalmayacak güzel,Olumlu
kargo hariç genel olarak iyi,Olumsuz
alırken düşündüm gelince gerçekten güzel bir makine olduğunu gördük aparatları kaliteli değil yerinden çıkabiliyor makine olarak diğerlerinden bir farkı yok tavsiye ederim,Olumlu
bı telefon bir harika arkadaşlar,Olumlu
görüntü kalitesi kötü,Olumsuz
ürünü 1 haftadır kullanıyorum simdilik memnunum ayarladiginiz programa göre si ayarı devir sayısı isterseniz otomatik oluyor sterseniz kendiniz ellle ayarliyorsunuz kirisik olmasın derseniz devir sayısını düşürebilirsiniz bazilari yünlü kiyafette 2 3 kilo yikayabildigini söylemiş yunlude zaten 2 3 kilo makinayı doldurur hacim kütle ilişkisi gayet normal bir durum tek korkum çamaşırları yirtiyor diyenlerin soyledigiydi simdilik böyle bir durumla karşılaşmadım oda galiba çamaşırı doldurmakla alakalıdır sorunsuz memnunum inşallah memnun kalirim alacak olanlara modeli oneririm gayet iyi,Olumlu
kisa oz gidin baska marka printer alin lan baglantisi yok wifi telefondan print etmek icin profesor diplomasi lazım,Olumsuz
okuduğum özellikleri karşılayan güzel bir telefon sadece büyük telefon kullanmaya alışık olmadığım boyutuna alışmaya çalışıyorum onun dışında xiaomi note pro karşılaştırmadığıma üzüldüm xiaomi iyiymiş ucuz sağlık olsun,Olumlu
şekil veremiyorsunuz mat görüntüsü var kesinlikle gün icinde hafif bir rüzgarda saçlarınız dağılacaktır,Olumsuz
olumlu yönleri yok olumsuz yönleri ürün parçalar kırk geldi makina tek sefer çalıştı sonra bozuldu çocuğum fatura attığı iade edemedim çooook kötü bir deneyim,Olumsuz
harika bir ürün tasfiye ederim,Olumlu
sadece nescafe gold koyarak 5 çeşit kahve yapıyor hızlı pratik kullanması lezzetleri birbirinden farklı beklentiniz yüksek değilse kahve gurmesi falan değilseniz sizi tatmin eder,Olumlu
süper kullanışlı,Olumlu
ürüni oğluma aldım kendisi son derece mutlu oldu,Olumlu
gayet kullanışlı fiyatına göre performanslı,Olumlu
urun iyi fakat paketlemeyi duzgun yapmaniz gerek urun kendi kutusuna naylon sarilip gonderilmis kutu baya bi ezilmis,Olumlu
jabra markasına 2 amazzon 5 yıldız ses harika kullanım güzel sürekli sol kulaklık bağlantı surunu var sağ kulaklık sol kulaklıkla bir senkronize olamıyor gerçekten problem manyetik alan etraftan etkileniyor farklı mekan durumlarda bir gün sürekli denedim olmadı istemeyerek iade ettimamazzon markasına gelince alışverişimde iade konuda müşteriden yana olduğunu dile getirdiler ben görmediğim ilgi alakayı başka bir firmada görmedim ben ürünü indirimli fiyattan almıştım şuan artmış tekrar almayı düşünürsem fiyattan almayı taahhüt ettiler teşekkürler amazon takdir tebrik ediyorum sizi,Olumsuz
hayır paketlermeden dolaylı hasarli,Olumsuz
eski bir vaillant kombi kullanıcısı olarak 5 ay önce baymak duotek taktırdım memnun degilim vaillant kombide sıçak suyu açtıgımda anında sıcak su gelirken kombide bir kova su aktıktan sonra ancak sıcak derecesine çıkıyo dereceyi yüksek seviyeye çıkartsanız bile düşük seviyeye inip tekrar yükseltmeye başlıyo arada dünyanın suyu boşa akıyor kalorifer sıcak su derecesinde sabitleme yok kombi kendi inip inip çıkıyor tek iyi yönü sessiz çalışıyor eski kombim sesli çalışıyordu kombim onun tırnagı bile olamaz,Olumsuz
öncelikle satıcısı olan yenisey teşekkürler ederim ürünümü erken kargoya verdikleri güzel paketledikleri ürünü henüz kullanmadım fakat şık kullanışlı görünüyor parçalarıda sağlam bir şekilde geldi ayrıca aras kargoyada evvel kızsamda yinede saglam ulaştırdıkları tesekkurler alacak olan arkadaşlara tavsiye ederim gönül rahatlığıyla,Olumlu
teslimat rezalet ürün elinize ulaşmadan alışveriş tamamlanıyor bilin istedim,Olumsuz
cihazı ilk 2 ay kullanabildik sonra kötü bir koku yaymaya başladı ısıttığı su çay kahve yapmak bir yana bulaşık yıkarken bile çıkan kokudan bayılacak oluyorsunuz kesinlikle tavsiye etmem,Olumsuz
olumlu yönleri buhar püskürtmesi kuvettli su fısfısı geniş atıyor isınma süresi hızlı max ısısı ideal olumsuz yönleri kullanırken dikey koyduğunuzda son derece dengesiz duruyor kutu içeriğinden su kabu çıkmıyor derece ayar butonunu çevirmek biraz zahmetli el zor giriyor,Olumlu
i lk seferde köpüklü yapmayı beceremedim tam kaynamadan almak gerekiyor sanırım son pişirdiğim gayet köpüklü lezzetli oldu fincan sayısına göre ayarlanması güzel bi özellik tavsiye ederim,Olumlu
yeteri kadar çekim emiş gücü yok biraz yetersiz kalmış bence,Olumsuz
nokia 5800 xpressmusic sınırsız ovi maps 8 gb hafıza kartı hediye telefonu geçen ay aldım ilkdefa dokunmatik kullandığım biraz zorlandım fakat zamanla insan alışıyor komşumada taysiye ettim eşine anneler günü hediyesi olarak kırmızı olanından spariş ettik sanırım anneler günününe yetişemeyecek kargo durumu spariş sparişin bankadan onayı 1 gün beklenmesi biraz geciktirecek birde ben alırken indirime 2 gün vardı hala indirim günü devam ediyor budurumda şaşırtıcı arz talep meselesi sanırım telf süper tavsiye ederim birde seffaf kılıfınıda birlikte spariş ederseniz memnun kalırsınız,Olumlu
ürün harika kaçırmayın,Olumlu
asus kaliteli marka dedik paraya kıydık aldık tam tamına rezalet bişi modem 35 mb vdsl internetimi 200 ping le giriyorum ayrıca sık sık kopmalar meydana geliyor almayın asusun bi modemini almayın,Olumsuz
tefalin kalitesini anlatmaya gerek yok zaten mağaza 10 üzerinden 10 tekrardan teşekkürler,Olumlu
